question;answer_0;answer_1;answer_2;answer_3;index_right
Какова основная функция сердца?;Переваривание пищи.;Перекачивание крови.;Производство гормонов.;Контроль нервной системы.;1
Сколько камер имеет человеческое сердце?;Две.;Пять.;Три.;Четыре.;3
Какая из перечисленных артерий снабжает сердце кровью?;Легочная артерия.;Аорта.;Коронарная артерия.;Воротная вена.;2
Как называется состояние, при котором сердце получает недостаточно кислорода?;Аритмия.;Гипоксия.;Тромбоз.;Атеросклероз.;1
Какой показатель артериального давления считается нормальным у взрослого человека?;90/60 мм рт. ст.;160/100 мм рт. ст.;140/90 мм рт. ст.;120/80 мм рт. ст.;3
Какой термин используется для обозначения нарушения сердечного ритма?;Аритмия.;Инфаркт.;Тахикардия.;Стенокардия.;0
Что из перечисленного снижает риск сердечно-сосудистых заболеваний?;Курение.;Сбалансированное питание.;Малоподвижный образ жизни.;Употребление алкоголя.;1
Какая физическая активность наиболее полезна для сердца?;Лёгкая аэробная нагрузка;Тяжёлая атлетика.;Максимальные нагрузки на короткое время.;Полное отсутствие физической активности.;0
Какой витамин помогает укреплять сердечно-сосудистую систему?;Витамин C.;Витамин D.;Витамин K.;Витамин A.;0
Какой из этих факторов наиболее сильно влияет на риск сердечно-сосудистых заболеваний?;Чрезмерное потребление воды.;Высокое кровяное давление.;Употребление фруктов.;Регулярная физическая активность.;1
"Что из этого является ""плохим"" холестерином?";Липопротеины высокой плотности (ЛПВП).;Триглицериды.;Общий холестерин.;Липопротеины низкой плотности (ЛПНП).;3
Какой уровень стресса считается безопасным для сердца?;Постоянный сильный стресс.;Полное отсутствие стресса.;Умеренный стресс в редких случаях.;Повышенный стресс каждый день.;2
Что нужно сделать в первую очередь при подозрении на инфаркт у человека?;Дать человеку стакан воды.;Уложить и вызвать скорую помощь.;Заставить его выполнить физические упражнения.;Ничего не делать, подождать, пока станет лучше.;1
Какое лекарство может помочь при подозрении на инфаркт?;Антибиотик.;Успокоительное средство.;Анальгин.;Аспирин.;3
Сколько раз в минуту в среднем сокращается сердце взрослого человека в состоянии покоя?;30–40 раз.;60–80 раз.;90–110 раз.;120–140 раз.;1
